Login,Admission No,Serial No,Email,First Name,Middle Name,Last Name,DOB,Gender,Address,Postal,City,Province,Country,Primary Contact,Mobile,Fax
BASICID0011,ADM-20-0011,1,1veertiwari@gmail.com,Vibha,,One,12-05-1995,f,"123, ABC",111111,Gorakhpur,,,,,
BASICID0012,ADM-20-0012,2,2veertiwari@gmail.com,Subham,,two,13-05-1995,,"123, ABC",111112,Gorakhpur,,,,,
BASICID0013,ADM-20-0013,3,3veertiwari@gmail.com,Dhaval,,One,14-05-1995,,"123, ABC",111113,Gorakhpur,,,,,
BASICID0014,ADM-20-0014,4,4veertiwari@gmail.com,Mahavir,,two,15-05-1995,,"123, ABC",111114,Gorakhpur,,,,,
BASICID0015,ADM-20-0015,5,5veertiwari@gmail.com,Manoj J12,,One,16-05-1995,,"123, ABC",111115,Gorakhpur,,,,,
BASICID0016,ADM-20-0016,6,6veertiwari@gmail.com,Naresh,Kumar,two,17-05-1995,,"123, ABC",111116,Gorakhpur,,,,,
BASICID0017,ADM-20-0017,7,7veertiwari@gmail.com,Rahul,,Verma,18-05-1995,,"123, ABC",111117,Gorakhpur,,,,,
BASICID0018,ADM-20-0018,8,8veertiwari@gmail.com,Bhushan,,One,19-05-1995,,"123, ABC",111118,Gorakhpur,,,,,
BASICID0019,ADM-20-0019,9,9veertiwari@gmail.com,Gaurav,,two,20-05-1995,,"123, ABC",111119,Gorakhpur,,,,,
BASICID0020,ADM-20-0020,10,10veertiwari@gmail.com,Kiran,,one,21-05-1995,,"123, ABC",111120,Gorakhpur,,,,,
BASICID0021,ADM-20-0021,11,11veertiwari@gmail.com,Pramod,Kumar,Yadav,22-05-1995,,"123, ABC",111121,Gorakhpur,,,,,
BASICID0022,ADM-20-0022,12,12veertiwari@gmail.com,Pramod22,,two,23-05-1995,,"123, ABC",111122,Gorakhpur,,,,,
BASICID0023,ADM-20-0023,13,13veertiwari@gmail.com,Kumar,Gaurav,one,24-05-1995,,"123, ABC",111123,Gorakhpur,,,,,
BASICID0024,ADM-20-0024,14,14veertiwari@gmail.com,Lalan,Ji,two,25-05-1995,,"123, ABC",111124,Gorakhpur,,,,,
BASICID0025,ADM-20-0025,15,14veertiwari@gmail.com,Pawanji,,one,26-05-1995,,"123, ABC",111125,Gorakhpur,,,,,
BASICID0026,ADM-20-0026,16,15veertiwari@gmail.com,Sunil,,Husale,27-05-1995,,"123, ABC",111126,Gorakhpur,,,,,
BASICID0027,ADM-20-0027,17,16veertiwari@gmail.com,Sushila,,two,28-05-1995,,"123, ABC",111127,Gorakhpur,,,,,
